shoes,trous,body,acces,real_result,s1,s2,s3,s4,t1,t2,t3,t4,b1,b2,b3,b4,a1,a2,a3,a4
1,3,3,4,3.333333333,8,9,2,9,6,5,5,2,1,4,7,10,4,7,8,3
3,3,2,3,4.333333333,7,8,4,5,6,5,5,2,6,5,5,8,2,6,5,10
2,3,2,4,4,2,2,10,10,6,5,5,2,6,5,5,8,4,7,8,3
2,4,4,2,10,2,2,10,10,1,3,10,8,1,5,9,6,7,8,6,7
4,3,4,4,8,5,5,5,3,6,5,5,2,1,5,9,6,4,7,8,3
4,2,2,2,4.333333333,5,5,5,3,7,9,2,6,6,5,5,8,7,8,6,7
4,4,1,3,1.333333333,5,5,5,3,1,3,10,8,10,8,3,5,2,6,5,10
1,1,4,2,1.666666667,8,9,2,9,5,4,5,3,1,5,9,6,7,8,6,7
2,4,4,4,8,2,2,10,10,1,3,10,8,1,5,9,6,4,7,8,3
3,2,1,4,5,7,8,4,5,7,9,2,6,10,8,3,5,4,7,8,3
3,3,2,4,4.666666667,7,8,4,5,6,5,5,2,6,5,5,8,4,7,8,3
3,2,3,2,3.333333333,7,8,4,5,7,9,2,6,1,4,7,10,7,8,6,7
4,4,1,1,3.666666667,5,5,5,3,1,3,10,8,10,8,3,5,9,9,4,9
1,1,4,4,1.666666667,8,9,2,9,5,4,5,3,1,5,9,6,4,7,8,3
2,1,3,2,9,2,2,10,10,5,4,5,3,1,4,7,10,7,8,6,7
2,3,4,3,7.333333333,2,2,10,10,6,5,5,2,1,5,9,6,2,6,5,10
4,1,3,2,6.333333333,5,5,5,3,5,4,5,3,1,4,7,10,7,8,6,7
2,4,3,2,9,2,2,10,10,1,3,10,8,1,4,7,10,7,8,6,7
1,2,2,3,2,8,9,2,9,7,9,2,6,6,5,5,8,2,6,5,10
2,4,4,3,9,2,2,10,10,1,3,10,8,1,5,9,6,2,6,5,10
2,1,4,1,6,2,2,10,10,5,4,5,3,1,5,9,6,9,9,4,9
1,3,2,3,2,8,9,2,9,6,5,5,2,6,5,5,8,2,6,5,10
2,1,4,2,9.666666667,2,2,10,10,5,4,5,3,1,5,9,6,7,8,6,7
2,3,1,3,6.333333333,2,2,10,10,6,5,5,2,10,8,3,5,2,6,5,10
2,3,4,4,7.666666667,2,2,10,10,6,5,5,2,1,5,9,6,4,7,8,3
4,1,1,1,8.333333333,5,5,5,3,5,4,5,3,10,8,3,5,9,9,4,9
4,1,3,1,3.666666667,5,5,5,3,5,4,5,3,1,4,7,10,9,9,4,9
1,1,3,2,2.333333333,8,9,2,9,5,4,5,3,1,4,7,10,7,8,6,7
3,3,2,2,7.333333333,7,8,4,5,6,5,5,2,6,5,5,8,7,8,6,7
2,1,2,1,3,2,2,10,10,5,4,5,3,6,5,5,8,9,9,4,9
4,1,3,3,3.666666667,5,5,5,3,5,4,5,3,1,4,7,10,2,6,5,10
4,3,4,3,6,5,5,5,3,6,5,5,2,1,5,9,6,2,6,5,10
1,4,4,4,1,8,9,2,9,1,3,10,8,1,5,9,6,4,7,8,3
1,2,3,3,1,8,9,2,9,7,9,2,6,1,4,7,10,2,6,5,10
4,2,3,4,1.666666667,5,5,5,3,7,9,2,6,1,4,7,10,4,7,8,3
3,1,2,4,6.666666667,7,8,4,5,5,4,5,3,6,5,5,8,4,7,8,3
2,4,2,1,3,2,2,10,10,1,3,10,8,6,5,5,8,9,9,4,9
4,2,2,4,2.333333333,5,5,5,3,7,9,2,6,6,5,5,8,4,7,8,3
4,1,1,3,5,5,5,5,3,5,4,5,3,10,8,3,5,2,6,5,10
1,2,3,2,2,8,9,2,9,7,9,2,6,1,4,7,10,7,8,6,7
3,2,2,1,2.666666667,7,8,4,5,7,9,2,6,6,5,5,8,9,9,4,9
4,2,1,4,5.666666667,5,5,5,3,7,9,2,6,10,8,3,5,4,7,8,3
3,4,3,1,6,7,8,4,5,1,3,10,8,1,4,7,10,9,9,4,9
3,3,1,3,6,7,8,4,5,6,5,5,2,10,8,3,5,2,6,5,10
1,1,1,4,6.333333333,8,9,2,9,5,4,5,3,10,8,3,5,4,7,8,3
2,1,4,3,7.333333333,2,2,10,10,5,4,5,3,1,5,9,6,2,6,5,10
3,4,3,3,5,7,8,4,5,1,3,10,8,1,4,7,10,2,6,5,10
4,4,2,3,1.333333333,5,5,5,3,1,3,10,8,6,5,5,8,2,6,5,10
4,4,4,4,4.666666667,5,5,5,3,1,3,10,8,1,5,9,6,4,7,8,3
3,1,3,3,6.333333333,7,8,4,5,5,4,5,3,1,4,7,10,2,6,5,10
2,3,4,1,7.666666667,2,2,10,10,6,5,5,2,1,5,9,6,9,9,4,9
3,2,2,4,3,7,8,4,5,7,9,2,6,6,5,5,8,4,7,8,3
4,1,4,1,6,5,5,5,3,5,4,5,3,1,5,9,6,9,9,4,9
4,1,3,4,4.333333333,5,5,5,3,5,4,5,3,1,4,7,10,4,7,8,3
1,3,4,3,3.333333333,8,9,2,9,6,5,5,2,1,5,9,6,2,6,5,10
2,4,2,4,3.666666667,2,2,10,10,1,3,10,8,6,5,5,8,4,7,8,3
2,2,2,3,2.333333333,2,2,10,10,7,9,2,6,6,5,5,8,2,6,5,10
2,3,2,1,4.666666667,2,2,10,10,6,5,5,2,6,5,5,8,9,9,4,9
4,4,3,3,2.333333333,5,5,5,3,1,3,10,8,1,4,7,10,2,6,5,10
4,4,4,3,2.666666667,5,5,5,3,1,3,10,8,1,5,9,6,2,6,5,10
2,2,3,2,2.333333333,2,2,10,10,7,9,2,6,1,4,7,10,7,8,6,7
3,4,2,3,3.666666667,7,8,4,5,1,3,10,8,6,5,5,8,2,6,5,10
2,1,1,2,6,2,2,10,10,5,4,5,3,10,8,3,5,7,8,6,7
1,4,2,1,1.333333333,8,9,2,9,1,3,10,8,6,5,5,8,9,9,4,9
2,4,3,4,7,2,2,10,10,1,3,10,8,1,4,7,10,4,7,8,3
3,4,3,4,5,7,8,4,5,1,3,10,8,1,4,7,10,4,7,8,3
2,1,1,1,4.333333333,2,2,10,10,5,4,5,3,10,8,3,5,9,9,4,9
2,4,1,1,2.666666667,2,2,10,10,1,3,10,8,10,8,3,5,9,9,4,9
4,1,2,3,4,5,5,5,3,5,4,5,3,6,5,5,8,2,6,5,10
2,1,2,2,6,2,2,10,10,5,4,5,3,6,5,5,8,7,8,6,7
1,2,1,3,4.666666667,8,9,2,9,7,9,2,6,10,8,3,5,2,6,5,10
3,4,4,1,7.333333333,7,8,4,5,1,3,10,8,1,5,9,6,9,9,4,9
1,3,1,3,7,8,9,2,9,6,5,5,2,10,8,3,5,2,6,5,10
2,3,3,1,8,2,2,10,10,6,5,5,2,1,4,7,10,9,9,4,9
3,2,2,3,2.333333333,7,8,4,5,7,9,2,6,6,5,5,8,2,6,5,10
4,4,2,4,1.666666667,5,5,5,3,1,3,10,8,6,5,5,8,4,7,8,3
1,3,2,2,5,8,9,2,9,6,5,5,2,6,5,5,8,7,8,6,7
1,4,2,3,1,8,9,2,9,1,3,10,8,6,5,5,8,2,6,5,10
4,2,3,1,1.333333333,5,5,5,3,7,9,2,6,1,4,7,10,9,9,4,9
4,2,4,3,4.666666667,5,5,5,3,7,9,2,6,1,5,9,6,2,6,5,10
1,4,2,4,1,8,9,2,9,1,3,10,8,6,5,5,8,4,7,8,3
4,4,2,1,1.666666667,5,5,5,3,1,3,10,8,6,5,5,8,9,9,4,9
1,1,2,2,3.333333333,8,9,2,9,5,4,5,3,6,5,5,8,7,8,6,7
3,3,1,1,9,7,8,4,5,6,5,5,2,10,8,3,5,9,9,4,9
3,3,3,3,5,7,8,4,5,6,5,5,2,1,4,7,10,2,6,5,10
1,1,3,3,2.666666667,8,9,2,9,5,4,5,3,1,4,7,10,2,6,5,10
1,4,4,1,1.333333333,8,9,2,9,1,3,10,8,1,5,9,6,9,9,4,9
3,2,4,2,4.333333333,7,8,4,5,7,9,2,6,1,5,9,6,7,8,6,7
2,3,3,3,6,2,2,10,10,6,5,5,2,1,4,7,10,2,6,5,10
1,4,1,2,1,8,9,2,9,1,3,10,8,10,8,3,5,7,8,6,7
1,3,3,2,3.666666667,8,9,2,9,6,5,5,2,1,4,7,10,7,8,6,7
2,3,2,2,6.333333333,2,2,10,10,6,5,5,2,6,5,5,8,7,8,6,7
2,2,2,2,2,2,2,10,10,7,9,2,6,6,5,5,8,7,8,6,7
3,1,2,3,5.666666667,7,8,4,5,5,4,5,3,6,5,5,8,2,6,5,10
2,1,2,3,4.333333333,2,2,10,10,5,4,5,3,6,5,5,8,2,6,5,10
2,2,3,3,2,2,2,10,10,7,9,2,6,1,4,7,10,2,6,5,10
2,3,2,3,3,2,2,10,10,6,5,5,2,6,5,5,8,2,6,5,10
1,4,3,4,1,8,9,2,9,1,3,10,8,1,4,7,10,4,7,8,3
1,2,4,4,1,8,9,2,9,7,9,2,6,1,5,9,6,4,7,8,3
4,3,3,4,5,5,5,5,3,6,5,5,2,1,4,7,10,4,7,8,3
1,1,1,3,3.333333333,8,9,2,9,5,4,5,3,10,8,3,5,2,6,5,10
4,3,2,4,6.333333333,5,5,5,3,6,5,5,2,6,5,5,8,4,7,8,3
3,2,3,4,2.666666667,7,8,4,5,7,9,2,6,1,4,7,10,4,7,8,3
2,2,1,2,1.666666667,2,2,10,10,7,9,2,6,10,8,3,5,7,8,6,7
1,3,2,1,5,8,9,2,9,6,5,5,2,6,5,5,8,9,9,4,9
1,3,1,1,9.666666667,8,9,2,9,6,5,5,2,10,8,3,5,9,9,4,9
4,1,4,3,5.333333333,5,5,5,3,5,4,5,3,1,5,9,6,2,6,5,10
1,1,2,4,2.333333333,8,9,2,9,5,4,5,3,6,5,5,8,4,7,8,3
4,1,4,4,7,5,5,5,3,5,4,5,3,1,5,9,6,4,7,8,3
1,3,4,4,4.666666667,8,9,2,9,6,5,5,2,1,5,9,6,4,7,8,3
1,4,4,2,1.333333333,8,9,2,9,1,3,10,8,1,5,9,6,7,8,6,7
2,2,4,3,1.666666667,2,2,10,10,7,9,2,6,1,5,9,6,2,6,5,10
4,3,4,1,8,5,5,5,3,6,5,5,2,1,5,9,6,9,9,4,9
1,3,1,4,8.666666667,8,9,2,9,6,5,5,2,10,8,3,5,4,7,8,3
2,2,3,1,1.666666667,2,2,10,10,7,9,2,6,1,4,7,10,9,9,4,9
4,2,4,4,5.666666667,5,5,5,3,7,9,2,6,1,5,9,6,4,7,8,3
1,4,3,2,1.333333333,8,9,2,9,1,3,10,8,1,4,7,10,7,8,6,7
4,3,2,3,4.666666667,5,5,5,3,6,5,5,2,6,5,5,8,2,6,5,10
1,1,1,1,5.666666667,8,9,2,9,5,4,5,3,10,8,3,5,9,9,4,9
4,4,1,4,3,5,5,5,3,1,3,10,8,10,8,3,5,4,7,8,3
1,2,1,1,6.666666667,8,9,2,9,7,9,2,6,10,8,3,5,9,9,4,9
1,3,2,4,2.666666667,8,9,2,9,6,5,5,2,6,5,5,8,4,7,8,3
2,4,3,1,7,2,2,10,10,1,3,10,8,1,4,7,10,9,9,4,9
2,3,3,2,9.333333333,2,2,10,10,6,5,5,2,1,4,7,10,7,8,6,7
4,2,4,1,6,5,5,5,3,7,9,2,6,1,5,9,6,9,9,4,9
4,1,2,2,8.333333333,5,5,5,3,5,4,5,3,6,5,5,8,7,8,6,7
1,4,1,1,1,8,9,2,9,1,3,10,8,10,8,3,5,9,9,4,9
4,1,2,4,4,5,5,5,3,5,4,5,3,6,5,5,8,4,7,8,3
4,2,2,3,1.666666667,5,5,5,3,7,9,2,6,6,5,5,8,2,6,5,10
2,1,3,1,3.666666667,2,2,10,10,5,4,5,3,1,4,7,10,9,9,4,9
4,3,1,1,9.666666667,5,5,5,3,6,5,5,2,10,8,3,5,9,9,4,9
3,4,1,4,6.333333333,7,8,4,5,1,3,10,8,10,8,3,5,4,7,8,3
4,2,4,2,7.666666667,5,5,5,3,7,9,2,6,1,5,9,6,7,8,6,7
3,2,1,1,5,7,8,4,5,7,9,2,6,10,8,3,5,9,9,4,9
3,2,3,3,2.666666667,7,8,4,5,7,9,2,6,1,4,7,10,2,6,5,10
1,2,1,4,5.666666667,8,9,2,9,7,9,2,6,10,8,3,5,4,7,8,3
1,2,4,3,1.333333333,8,9,2,9,7,9,2,6,1,5,9,6,2,6,5,10
4,1,1,4,6.333333333,5,5,5,3,5,4,5,3,10,8,3,5,4,7,8,3
4,3,1,4,8.333333333,5,5,5,3,6,5,5,2,10,8,3,5,4,7,8,3
3,3,4,4,8.666666667,7,8,4,5,6,5,5,2,1,5,9,6,4,7,8,3
1,4,3,3,1.333333333,8,9,2,9,1,3,10,8,1,4,7,10,2,6,5,10
1,3,3,1,3,8,9,2,9,6,5,5,2,1,4,7,10,9,9,4,9
4,4,2,2,2.666666667,5,5,5,3,1,3,10,8,6,5,5,8,7,8,6,7
1,3,3,3,2.666666667,8,9,2,9,6,5,5,2,1,4,7,10,2,6,5,10
2,2,4,2,1.666666667,2,2,10,10,7,9,2,6,1,5,9,6,7,8,6,7
3,1,1,3,7,7,8,4,5,5,4,5,3,10,8,3,5,2,6,5,10
3,1,1,1,9.333333333,7,8,4,5,5,4,5,3,10,8,3,5,9,9,4,9
4,4,3,2,5.333333333,5,5,5,3,1,3,10,8,1,4,7,10,7,8,6,7
3,1,1,4,9,7,8,4,5,5,4,5,3,10,8,3,5,4,7,8,3
4,4,4,1,4.333333333,5,5,5,3,1,3,10,8,1,5,9,6,9,9,4,9
3,3,1,4,8,7,8,4,5,6,5,5,2,10,8,3,5,4,7,8,3
1,4,3,1,1.333333333,8,9,2,9,1,3,10,8,1,4,7,10,9,9,4,9
2,1,1,3,5.666666667,2,2,10,10,5,4,5,3,10,8,3,5,2,6,5,10
2,1,3,3,6.333333333,2,2,10,10,5,4,5,3,1,4,7,10,2,6,5,10
2,1,1,4,7.333333333,2,2,10,10,5,4,5,3,10,8,3,5,4,7,8,3
2,2,4,1,1.333333333,2,2,10,10,7,9,2,6,1,5,9,6,9,9,4,9
3,1,2,1,8,7,8,4,5,5,4,5,3,6,5,5,8,9,9,4,9
3,1,3,1,6.666666667,7,8,4,5,5,4,5,3,1,4,7,10,9,9,4,9
4,2,2,1,3,5,5,5,3,7,9,2,6,6,5,5,8,9,9,4,9
1,1,3,1,2,8,9,2,9,5,4,5,3,1,4,7,10,9,9,4,9
3,4,2,1,4.333333333,7,8,4,5,1,3,10,8,6,5,5,8,9,9,4,9
3,4,1,2,5.666666667,7,8,4,5,1,3,10,8,10,8,3,5,7,8,6,7
4,1,2,1,7,5,5,5,3,5,4,5,3,6,5,5,8,9,9,4,9
4,3,3,3,4,5,5,5,3,6,5,5,2,1,4,7,10,2,6,5,10
3,1,2,2,9.333333333,7,8,4,5,5,4,5,3,6,5,5,8,7,8,6,7
2,3,3,4,5.333333333,2,2,10,10,6,5,5,2,1,4,7,10,4,7,8,3
3,3,1,2,9.666666667,7,8,4,5,6,5,5,2,10,8,3,5,7,8,6,7
1,2,2,2,2.666666667,8,9,2,9,7,9,2,6,6,5,5,8,7,8,6,7
2,4,1,3,6,2,2,10,10,1,3,10,8,10,8,3,5,2,6,5,10
2,3,1,2,8.666666667,2,2,10,10,6,5,5,2,10,8,3,5,7,8,6,7
4,4,3,4,2.666666667,5,5,5,3,1,3,10,8,1,4,7,10,4,7,8,3
4,3,1,3,5.333333333,5,5,5,3,6,5,5,2,10,8,3,5,2,6,5,10
4,2,3,3,1.333333333,5,5,5,3,7,9,2,6,1,4,7,10,2,6,5,10
1,3,4,2,5,8,9,2,9,6,5,5,2,1,5,9,6,7,8,6,7
2,4,4,1,7.666666667,2,2,10,10,1,3,10,8,1,5,9,6,9,9,4,9
3,1,1,2,10,7,8,4,5,5,4,5,3,10,8,3,5,7,8,6,7
3,4,4,2,8.666666667,7,8,4,5,1,3,10,8,1,5,9,6,7,8,6,7
4,3,1,2,10,5,5,5,3,6,5,5,2,10,8,3,5,7,8,6,7
2,4,1,4,6.666666667,2,2,10,10,1,3,10,8,10,8,3,5,4,7,8,3